idP1,idP2
1130,9924
1130,6996
1130,14311
1133,731
1133,536
1133,1696
1137,12388
1139,12571
1139,13106
1146,376
1144,13749
1148,2225
1150,1443
1150,10029
1150,1546
1155,977
1157,796
1159,8248
1160,2063
1163,2706
1163,2470
1163,28
1163,237
1163,6184
1163,1342
1163,9825
1163,9702
1166,1618
1171,19026
1171,10435
1171,1585
1171,292
1171,18069
1171,1937
1176,8767
1176,7890
1175,796
1174,1982
1177,17258
1177,7268
1177,18438
1177,16262
1177,13614
1177,269
1177,19629
1177,8026
1177,1432
1177,16578
1177,13953
1177,16950
1177,7619
1177,868
1177,12044
1183,2008
1179,724
1180,10736
1186,1041
1184,1782
1184,4487
1184,10912
1184,17536
1187,13035
1187,1644
1187,2235
1187,663
1187,887
1191,670
1191,10426
1191,724
1192,2397
1188,1908
1188,1271
1188,1093
1188,1103
1195,2081
1196,6469
1196,15604
1200,9116
1199,350
1202,176
1202,11530
1203,1878
1203,18576
1205,2794
1205,16749
1205,3390
1205,17513
1206,610
1206,993
1209,13040
1209,19280
1209,19512
1209,13538
1209,672
1210,1100
1210,12434
1210,1140
1212,11108
1212,7875
1212,18159
1212,1071
1212,6
1212,12420
1212,12586
1212,1722
1212,852
1215,7245
1215,17486
1215,738
1215,7329
1215,12573
1215,2184
1216,1587
1220,545
1220,2005
1220,612
1220,2116
1220,1132
1220,1470
1220,13851
1220,349
1227,7177
1228,1903
1228,9732
1228,34
1228,8786
1228,3232
1228,334
1231,1446
1230,1678
1230,2242
1230,542
1232,1448
1232,872
1232,1633
1232,1924
1233,279
1235,1307
1237,1619
1240,5010
1240,13040
1240,1788
1240,736
1240,19280
1239,17693
1239,18651
1239,19441
1245,18317
1253,16678
1253,10979
1255,16745
1255,96
1254,316
1254,2416
1257,5979
1262,1986
1256,9390
1256,2034
1256,1302
1256,10650
1256,1440
1260,12810
1260,457
1260,12245
1260,10952
1260,11749
1260,11720
1260,13580
1260,11701
1260,11309
1260,12281
1260,1838
1260,12184
1260,12150
1260,1144
1260,13625
