idP,idC
17562,0
17563,0
17566,0
17571,0
17572,0
17576,0
17577,0
17578,0
17583,0
17594,0
17596,0
17598,0
17599,0
17606,0
17611,0
17614,0
17615,0
17617,0
17619,0
17623,0
17627,0
17632,0
17635,0
17639,0
17643,0
17644,0
17649,0
17651,0
17654,0
17656,0
17657,0
17661,0
17664,0
17665,0
17666,0
17670,0
17674,0
17675,0
17676,0
17677,0
17678,0
17682,0
17685,0
17691,0
17693,0
17695,0
17696,0
17701,0
17702,0
17708,0
17711,0
17714,0
17719,0
17728,0
17732,0
17733,0
17734,0
17736,0
17737,0
17739,0
17743,0
17744,0
17745,0
17746,0
17751,0
17752,0
17755,0
17757,0
17760,0
17766,0
17769,0
17771,0
17774,0
17775,0
17779,0
17782,0
17788,0
17794,0
17796,0
17799,0
17800,0
17802,0
17803,0
17805,0
17806,0
17809,0
17810,0
17811,0
17814,0
17815,0
17816,0
17817,0
17819,0
17821,0
17824,0
17832,0
17835,0
17836,0
17839,0
17841,0
17843,0
17847,0
17852,0
17853,0
17858,0
17863,0
17867,0
17870,0
17872,0
17873,0
17874,0
17875,0
17878,0
17879,0
17880,0
17881,0
17886,0
17887,0
17890,0
17892,0
17897,0
17898,0
17900,0
17901,0
17902,0
17904,0
17914,0
17923,0
17924,0
17926,0
17929,0
17932,0
17935,0
17940,0
17944,0
17946,0
17947,0
17948,0
17949,0
17950,0
17952,0
17958,0
17959,0
17961,0
17962,0
17967,0
17970,0
17972,0
17977,0
17980,0
17981,0
17982,0
17983,0
17984,0
17985,0
17986,0
17988,0
17992,0
17994,0
17995,0
17996,0
18004,0
18008,0
18010,0
18011,0
18016,0
18018,0
18019,0
18023,0
18025,0
18026,0
18028,0
18030,0
18032,0
18034,0
18036,0
18037,0
18043,0
18046,0
18048,0
18051,0
18053,0
18054,0
18056,0
18057,0
18058,0
18060,0
18067,0
18068,0
18071,0
18073,0
18076,0
18084,0
18088,0
18092,0
18094,0
18095,0
18099,0
18101,0
18103,0
18105,0
18109,0
18112,0
18114,0
18119,0
18121,0
18122,0
18126,0
18129,0
18131,0
18132,0
18136,0
18142,0
18145,0
18146,0
18150,0
18151,0
18154,0
18160,0
18167,0
18175,0
18176,0
18177,0
18178,0
18181,0
18182,0
18185,0
18190,0
18193,0
18199,0
18200,0
18202,0
18203,0
18204,0
18206,0
18215,0
18216,0
18220,0
18221,0
18222,0
18224,0
18226,0
18227,0
18229,0
18230,0
18232,0
18233,0
18237,0
18238,0
18244,0
18249,0
18250,0
18251,0
18253,0
18255,0
18260,0
18262,0
18265,0
18266,0
18268,0
18269,0
18274,0
18275,0
18277,0
18279,0
18282,0
18283,0
18284,0
18285,0
18286,0
18287,0
18289,0
18294,0
18295,0
18296,0
18297,0
18298,0
18302,0
18303,0
18304,0
18305,0
18310,0
18314,0
18315,0
18316,0
18318,0
18319,0
18322,0
18325,0
18330,0
18336,0
18339,0
18341,0
18343,0
18344,0
18345,0
18346,0
18348,0
18351,0
18353,0
18355,0
18357,0
18359,0
18361,0
18365,0
18368,0
18370,0
18371,0
18372,0
18375,0
18376,0
18377,0
18378,0
18380,0
18381,0
18384,0
18385,0
18388,0
18390,0
18393,0
18396,0
18397,0
18399,0
18400,0
18403,0
18405,0
18406,0
18407,0
18415,0
18416,0
18418,0
18420,0
18421,0
18424,0
18427,0
18428,0
18429,0
18432,0
18434,0
18440,0
18443,0
18444,0
18446,0
18455,0
18456,0
18458,0
18468,0
18470,0
18476,0
18479,0
18486,0
18488,0
18489,0
18491,0
18492,0
18495,0
18497,0
18498,0
18505,0
18507,0
18509,0
18510,0
18513,0
18516,0
18517,0
18521,0
18522,0
18525,0
18526,0
18528,0
18530,0
18531,0
18532,0
18534,0
18541,0
18542,0
18543,0
18545,0
18546,0
18548,0
18553,0
18554,0
18555,0
18556,0
18559,0
18560,0
18567,0
18572,0
18574,0
18575,0
18579,0
18582,0
18584,0
18587,0
18589,0
18590,0
18591,0
18594,0
18595,0
18597,0
18599,0
18601,0
18603,0
18604,0
18609,0
18611,0
18615,0
18618,0
18619,0
18620,0
18621,0
18622,0
18631,0
18633,0
18635,0
18636,0
18638,0
18642,0
18645,0
18648,0
18650,0
18653,0
18654,0
18656,0
18661,0
18664,0
18666,0
18669,0
18675,0
18676,0
18678,0
18679,0
18682,0
18691,0
18696,0
18699,0
18700,0
18702,0
18706,0
18707,0
18710,0
18711,0
18714,0
18715,0
18718,0
18721,0
18722,0
18723,0
18726,0
18729,0
18731,0
18736,0
18737,0
18742,0
18744,0
18745,0
18747,0
18756,0
18761,0
18762,0
18765,0
18768,0
18770,0
18771,0
18772,0
18773,0
18774,0
18775,0
18778,0
18779,0
18781,0
18782,0
18783,0
18785,0
18787,0
18792,0
18793,0
18798,0
18799,0
18801,0
18802,0
18806,0
18808,0
18809,0
18814,0
18816,0
18819,0
18821,0
18825,0
18827,0
18829,0
18831,0
18834,0
18836,0
18837,0
18840,0
18841,0
18842,0
18853,0
18854,0
18855,0
18857,0
18869,0
18870,0
18871,0
18872,0
18874,0
18877,0
18878,0
18879,0
18880,0
18881,0
18882,0
18884,0
18888,0
18893,0
18896,0
18898,0
18899,0
18905,0
18926,0
18928,0
18929,0
18933,0
18935,0
18940,0
18941,0
18943,0
18945,0
18946,0
18947,0
18948,0
18949,0
18950,0
18951,0
18952,0
18955,0
18958,0
18959,0
18960,0
18961,0
18963,0
18964,0
18965,0
18967,0
18969,0
18970,0
18972,0
18973,0
18978,0
18984,0
18989,0
18990,0
18991,0
18995,0
19000,0
19004,0
19005,0
19007,0
19010,0
19012,0
19013,0
19020,0
19023,0
